 net9            v(Vbn)          i(Vout)         i(Vout1)        v(b6)           v(b5)           v(b4)           v(b3)           v(b2)           v(b1)           v(b0)           v(b0out)        v(b1out)        v(b6out)       
 9.08699804e-01  3.99476677e-01  5.68042006e-08  5.52741559e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.99476679e-01  3.32533651e-09  3.32533651e-09 
 9.08946672e-01  3.99476651e-01  5.77648405e-08  5.62171179e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.32533651e-09  3.99476654e-01  3.32533651e-09 
 8.94577545e-01  3.99478042e-01  5.88065687e-08  5.72398813e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  3.99478045e-01  3.99478045e-01  3.32533658e-09 
 9.09430247e-01  3.99476725e-01  5.96804997e-08  5.80980640e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.32533657e-09  3.32533657e-09  3.32533657e-09 
 8.94881865e-01  3.99477984e-01  6.07245612e-08  5.91234811e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  3.99477986e-01  3.32533658e-09  3.32533658e-09 
 8.95133055e-01  3.99478071e-01  6.16770541e-08  6.00592014e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.32533659e-09  3.99478074e-01  3.32533659e-09 
 8.83560291e-01  3.99479371e-01  6.27071166e-08  6.10712874e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  3.99479373e-01  3.99479373e-01  3.32533671e-09 
 1.02879530e+00  3.99472783e-01  6.42659257e-08  6.26033484e-08  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.32533630e-09  3.32533630e-09  3.99472785e-01 
 9.60239440e-01  3.99474092e-01  6.52712296e-08  6.35916222e-08  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.99474094e-01  3.32533637e-09  3.99474094e-01 
 9.60663246e-01  3.99474016e-01  6.62271127e-08  6.45315396e-08  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.32533636e-09  3.99474018e-01  3.99474018e-01 
 9.30431494e-01  3.99475328e-01  6.72203030e-08  6.55082240e-08  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  3.99475330e-01  3.99475330e-01  3.99475330e-01 
 9.61525425e-01  3.99474030e-01  6.81562582e-08  6.64288891e-08  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.32533636e-09  3.32533636e-09  3.99474032e-01 
 9.30807233e-01  3.99475294e-01  6.91669370e-08  6.74231576e-08  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  3.99475296e-01  3.32533643e-09  3.99475296e-01 
 9.31200426e-01  3.99475331e-01  7.01201955e-08  6.83611992e-08  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.32533644e-09  3.99475333e-01  3.99475333e-01 
 9.11214910e-01  3.99476772e-01  7.11165178e-08  6.93416833e-08  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  3.99476775e-01  3.99476775e-01  3.99476775e-01 
 9.63292787e-01  3.99474131e-01  7.20260502e-08  7.02370236e-08  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.32533637e-09  3.32533637e-09  3.99474133e-01 
 9.31769554e-01  3.99475361e-01  7.30448711e-08  7.12399993e-08  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.99475363e-01  3.32533644e-09  3.99475363e-01 
 9.32104529e-01  3.99475407e-01  7.40007340e-08  7.21812064e-08  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.32533644e-09  3.99475409e-01  3.99475409e-01 
 9.11823033e-01  3.99476745e-01  7.50129845e-08  7.31781708e-08  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  3.99476748e-01  3.99476748e-01  3.99476748e-01 
 9.32766861e-01  3.99475334e-01  7.59133288e-08  7.40650384e-08  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.32533649e-09  3.32533649e-09  3.99475336e-01 
 9.12188608e-01  3.99476731e-01  7.69267497e-08  7.50634143e-08  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  3.99476733e-01  3.32533651e-09  3.99476733e-01 
 9.12509553e-01  3.99476649e-01  7.78778244e-08  7.60005711e-08  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.32533651e-09  3.99476651e-01  3.99476651e-01 
 8.97378509e-01  3.99478038e-01  7.88863559e-08  7.69943837e-08  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  3.99478040e-01  3.99478040e-01  3.99478040e-01 
 9.67003106e-01  3.99474010e-01  7.97811965e-08  7.78765056e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.32533636e-09  3.32533636e-09  3.99474012e-01 
 9.33865824e-01  3.99475367e-01  8.08189725e-08  7.88996163e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.99475369e-01  3.32533644e-09  3.99475369e-01 
 9.34175957e-01  3.99475298e-01  8.17788762e-08  7.98460502e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.32533643e-09  3.99475300e-01  3.99475300e-01 
 9.13261523e-01  3.99476748e-01  8.27971050e-08  8.08502069e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  3.99476750e-01  3.99476750e-01  3.99476750e-01 
 9.34794860e-01  3.99475314e-01  8.36944821e-08  8.17352903e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.32533643e-09  3.32533643e-09  3.99475316e-01 
 9.13591453e-01  3.99476721e-01  8.47246106e-08  8.27515136e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  3.99476723e-01  3.32533651e-09  3.99476723e-01 
 9.13902687e-01  3.99476665e-01  8.56763103e-08  8.36905016e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.32533651e-09  3.99476668e-01  3.99476668e-01 
 8.98438196e-01  3.99477968e-01  8.66866770e-08  8.46875269e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  3.99477970e-01  3.99477970e-01  3.99477970e-01 
 9.36035103e-01  3.99475319e-01  8.75164483e-08  8.55065158e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.32533643e-09  3.32533643e-09  3.99475321e-01 
 9.14394886e-01  3.99476667e-01  8.85464752e-08  8.65232168e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.99476669e-01  3.32533651e-09  3.99476669e-01 
 9.14660449e-01  3.99476732e-01  8.94888286e-08  8.74535619e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.32533657e-09  3.99476734e-01  3.99476734e-01 
 8.98989032e-01  3.99478059e-01  9.05043101e-08  8.84562283e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  3.99478061e-01  3.99478061e-01  3.99478061e-01 
 9.15182675e-01  3.99476733e-01  9.13737001e-08  8.93147701e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.32533657e-09  3.32533657e-09  3.99476735e-01 
 8.99308393e-01  3.99478074e-01  9.23934296e-08  9.03219681e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  3.99478076e-01  3.32533659e-09  3.99478076e-01 
 8.99575465e-01  3.99478040e-01  9.33295879e-08  9.12466878e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.32533658e-09  3.99478042e-01  3.99478042e-01 
 8.87170272e-01  3.99479303e-01  9.43342604e-08  9.22392815e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  3.99479305e-01  3.99479305e-01  3.99479305e-01 
 9.75165135e-01  3.99474027e-01  9.51996825e-08  9.30944975e-08  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.32533642e-09  3.32533642e-09  3.99474029e-01 
 9.38322290e-01  3.99475321e-01  9.62364010e-08  9.41190218e-08  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.99475323e-01  3.32533644e-09  3.99475323e-01 
 9.38629732e-01  3.99475322e-01  9.71780045e-08  9.50496935e-08  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.32533644e-09  3.99475325e-01  3.99475325e-01 
 9.16331232e-01  3.99476670e-01  9.81965912e-08  9.60565852e-08  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  3.99476672e-01  3.99476672e-01  3.99476672e-01 
 9.39252980e-01  3.99475317e-01  9.90802430e-08  9.69302085e-08  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.32533649e-09  3.32533649e-09  3.99475319e-01 
 9.16647701e-01  3.99476692e-01  1.00108154e-07  9.79466537e-08  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  3.99476694e-01  3.32533651e-09  3.99476694e-01 
 9.16963034e-01  3.99476646e-01  1.01046542e-07  9.88746506e-08  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.32533656e-09  3.99476648e-01  3.99476648e-01 
 9.00764184e-01  3.99477951e-01  1.02053514e-07  9.98706503e-08  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  3.99477953e-01  3.99477953e-01  3.99477953e-01 
 9.40511785e-01  3.99475424e-01  1.02878034e-07  1.00686319e-07  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.32533650e-09  3.32533650e-09  3.99475426e-01 
 9.17442911e-01  3.99476715e-01  1.03919547e-07  1.01716702e-07  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.99476717e-01  3.32533651e-09  3.99476717e-01 
