 net8            v(Vbn)          i(Vout)         i(Vout1)        v(b6)           v(b5)           v(b4)           v(b3)           v(b2)           v(b1)           v(b0)           v(b0out)        v(b1out)        v(b6out)       
 9.24350715e-01  3.59961739e-01  3.54958596e-08  3.40540461e-08  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.37249344e-09  3.44917436e-09  3.34172812e-09 
 9.08325760e-01  3.59963297e-01  4.42574658e-08  4.26815867e-08  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  3.59963300e-01  3.44917440e-09  3.34172816e-09 
 9.08011892e-01  3.59963275e-01  4.44436323e-08  4.28654252e-08  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.37249349e-09  3.59963277e-01  3.34172816e-09 
 8.95415668e-01  3.59964990e-01  5.23965020e-08  5.07048873e-08  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  3.59964992e-01  3.59964992e-01  3.34172821e-09 
 9.46500360e-01  3.59960060e-01  2.55629877e-08  2.42925997e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.37249338e-09  3.44917437e-09  3.34172806e-09 
 9.24569848e-01  3.59961788e-01  3.53883409e-08  3.39484945e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.59961791e-01  3.44917436e-09  3.34172812e-09 
 9.24159903e-01  3.59961639e-01  3.55953466e-08  3.41521139e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.37249342e-09  3.59961641e-01  3.34172809e-09 
 9.08179100e-01  3.59963279e-01  4.43475806e-08  4.27705028e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  3.59963282e-01  3.59963282e-01  3.34172816e-09 
 9.24155653e-01  3.59961707e-01  3.55986424e-08  3.41552583e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.37249344e-09  3.44917436e-09  3.34172811e-09 
 9.08175884e-01  3.59963352e-01  4.43508067e-08  4.27736637e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  3.59963355e-01  3.44917446e-09  3.34172817e-09 
 9.07862735e-01  3.59963328e-01  4.45364608e-08  4.29573063e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.37249349e-09  3.59963331e-01  3.34172816e-09 
 8.95294709e-01  3.59964972e-01  5.24823204e-08  5.07896358e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  3.59964974e-01  3.59964974e-01  3.34172821e-09 
 9.24478583e-01  3.59961808e-01  3.54384945e-08  3.39977370e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.37249346e-09  3.44917438e-09  3.34172814e-09 
 9.08423692e-01  3.59963466e-01  4.42066395e-08  4.26313387e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.59963468e-01  3.44917445e-09  3.34172816e-09 
 9.08109291e-01  3.59963462e-01  4.43929091e-08  4.28154823e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.37249349e-09  3.59963465e-01  3.34172816e-09 
 8.95494747e-01  3.59965116e-01  5.23506464e-08  5.06596561e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  3.59965119e-01  3.59965119e-01  3.34172821e-09 
 9.08106208e-01  3.59963413e-01  4.43956966e-08  4.28183803e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.37249355e-09  3.44917440e-09  3.34172816e-09 
 8.95492236e-01  3.59965044e-01  5.23533492e-08  5.06624601e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  3.59965046e-01  3.44917444e-09  3.34172821e-09 
 8.95238363e-01  3.59965049e-01  5.25241109e-08  5.08310595e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.37249361e-09  3.59965051e-01  3.34172821e-09 
 8.84859592e-01  3.59966571e-01  5.98483591e-08  5.80545380e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  3.59966573e-01  3.59966573e-01  3.34172827e-09 
 9.84743846e-01  3.59958364e-01  1.34172105e-08  1.24341802e-08  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.37249332e-09  3.44917432e-09  3.59958366e-01 
 9.48368303e-01  3.59960027e-01  2.48381021e-08  2.35820832e-08  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.59960029e-01  3.44917437e-09  3.59960029e-01 
 9.47762204e-01  3.59959991e-01  2.50750520e-08  2.38141291e-08  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.37249338e-09  3.59959994e-01  3.59959994e-01 
 9.25446214e-01  3.59961763e-01  3.49594862e-08  3.35262729e-08  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  3.59961765e-01  3.59961765e-01  3.59961765e-01 
 9.47755981e-01  3.59960153e-01  2.50789173e-08  2.38176049e-08  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.37249338e-09  3.44917437e-09  3.59960155e-01 
 9.25442075e-01  3.59961722e-01  3.49630406e-08  3.35293989e-08  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  3.59961724e-01  3.44917438e-09  3.59961724e-01 
 9.25026017e-01  3.59961703e-01  3.51706171e-08  3.37342502e-08  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.37249344e-09  3.59961705e-01  3.59961705e-01 
 9.08843577e-01  3.59963226e-01  4.39651449e-08  4.23942540e-08  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  3.59963228e-01  3.59963228e-01  3.59963228e-01 
 9.48233275e-01  3.59960101e-01  2.48950292e-08  2.36372712e-08  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.37249338e-09  3.44917437e-09  3.59960103e-01 
 9.25771790e-01  3.59961819e-01  3.48011624e-08  3.33703849e-08  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.59961821e-01  3.44917442e-09  3.59961821e-01 
 9.25353553e-01  3.59961770e-01  3.50098553e-08  3.35755436e-08  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.37249344e-09  3.59961772e-01  3.59961772e-01 
 9.09094026e-01  3.59963489e-01  4.38202410e-08  4.22515346e-08  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  3.59963492e-01  3.59963492e-01  3.59963492e-01 
 9.25349485e-01  3.59961783e-01  3.50127485e-08  3.35788627e-08  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.37249343e-09  3.44917435e-09  3.59961785e-01 
 9.09090767e-01  3.59963501e-01  4.38233745e-08  4.22545628e-08  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  3.59963503e-01  3.44917440e-09  3.59963503e-01 
 9.08773101e-01  3.59963403e-01  4.40105462e-08  4.24392580e-08  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.37249349e-09  3.59963405e-01  3.59963405e-01 
 8.96032617e-01  3.59965048e-01  5.20014981e-08  5.03159031e-08  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  3.59965051e-01  3.59965051e-01  3.59965051e-01 
 9.47944192e-01  3.59960030e-01  2.50119697e-08  2.37520927e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.37249338e-09  3.44917431e-09  3.59960032e-01 
 9.25572171e-01  3.59961733e-01  3.49053800e-08  3.34725216e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.59961736e-01  3.44917441e-09  3.59961735e-01 
 9.25155258e-01  3.59961766e-01  3.51126077e-08  3.36774602e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.37249344e-09  3.59961769e-01  3.59961769e-01 
 9.08942536e-01  3.59963331e-01  4.39158997e-08  4.23441502e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  3.59963333e-01  3.59963334e-01  3.59963333e-01 
 9.25150900e-01  3.59961832e-01  3.51163311e-08  3.36806741e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.37249344e-09  3.44917442e-09  3.59961834e-01 
 9.08939183e-01  3.59963421e-01  4.39171780e-08  4.23470758e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  3.59963424e-01  3.44917445e-09  3.59963424e-01 
 9.08622054e-01  3.59963407e-01  4.41048945e-08  4.25315968e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.37249349e-09  3.59963409e-01  3.59963409e-01 
 8.95910393e-01  3.59965043e-01  5.20886743e-08  5.04009313e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  3.59965046e-01  3.59965046e-01  3.59965046e-01 
 9.25479131e-01  3.59961850e-01  3.49554786e-08  3.35218706e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.37249344e-09  3.44917442e-09  3.59961852e-01 
 9.09190134e-01  3.59963581e-01  4.37719680e-08  4.22041854e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.59963584e-01  3.44917446e-09  3.59963584e-01 
 9.08871705e-01  3.59963463e-01  4.39598165e-08  4.23888972e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.37249349e-09  3.59963466e-01  3.59963466e-01 
 8.96112601e-01  3.59965073e-01  5.19555846e-08  5.02703929e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  3.59965075e-01  3.59965075e-01  3.59965075e-01 
 9.08868550e-01  3.59963493e-01  4.39627019e-08  4.23919963e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.37249349e-09  3.44917446e-09  3.59963495e-01 
 8.96109977e-01  3.59965114e-01  5.19589387e-08  5.02733566e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  3.59965117e-01  3.44917444e-09  3.59965117e-01 
 8.95853646e-01  3.59965027e-01  5.21306126e-08  5.04423841e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.37249360e-09  3.59965029e-01  3.59965029e-01 
 8.85376417e-01  3.59966599e-01  5.94846892e-08  5.76959258e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  3.59966601e-01  3.59966601e-01  3.59966601e-01 
